OBJECTID,Código Sector Catastral,Nombre Sector Catastral,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Variación Homicidios 2021-2022 %,Total Homicidios 2022 Bogotá D.C.,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Variación Lesiones Personales 2021-2022 %,Total Lesiones Personales 2022 Bogotá D.C.,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Variación  Hurto Personas 2021-2022 %,Total Hurto Personas 2022 Bogotá D.C.,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Variación  Hurto Residencias 2021-2022 %,Total Hurto Residencias 2022 Bogotá D.C.,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Variación  Hurto Automotores 2021-2022 %,Total Hurto Automotores 2022 Bogotá D.C.,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Variación  Hurto Bicicletas 2021-2022 %,Total Hurto Bicicletas 2022 Bogotá D.C.,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Variación  Hurto Comercio 2021-2022 %,Total Hurto Comercio 2022 Bogotá D.C.,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Variación  Hurto Celulares 2021-2022 %,Total Hurto Celulares 2022 Bogotá D.C.,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Variación  Hurto Motocicletas 2021-2022 %,Total Hurto Motocicletas 2022 Bogotá D.C.,Total Hurto Entidades Financieras  2018,Total Hurto Entidades Financieras  2019,Total Hurto Entidades Financieras  2020,Variación  Hurto Entidades Financieras  2021-2022 %,Total Hurto Entidades Financieras  2022 Bogotá D.C.,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Variación  Delitos Sexuales 2021-2022 %,Total Delitos Sexuales 2022 Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Variación  Violencia intrafamiliar 2021-2022 %,Total Violencia intrafamiliar 2022 Bogotá D.C.,Total Homicidios 2021,Total Lesiones Personales 2021,Total Hurto Personas 2021,Total Hurto Residencias 2021,Total Hurto Automotores 2021,Total Hurto Bicicletas 2021,Total Hurto Celulares 2021,Total Hurto Motocicletas 2021,Total Hurto Entidades Financieras  2021,Total Hurto Comercio 2021,Total Delitos Sexuales 2021,Total Violencia intrafamiliar 2021,Total Homicidios 2022,Total Lesiones Personales 2022,Total Hurto Personas 2022,Total Hurto Residencias 2022,Total Hurto Automotores 2022,Total Hurto Bicicletas 2022,Total Hurto Celulares 2022,Total Hurto Motocicletas 2022,Total Hurto Entidades Financieras  2022,Total Hurto Comercio 2022,Total Delitos Sexuales 2022,Total Violencia intrafamiliar 2022,coord_x,coord_y
31,009248,TIBABUYES II,Ene-Abr,1,0,0,0,296,16,6,5,40,"7,760",20,19,29,50,"36,368",6,3,2,33.33,"1,759",1,2,3,100,"1,104",3,3,3,50,"2,805",2,1,3,0,"2,308",17,10,12,22.22,"19,286",0,3,1,-100,"1,552",0,0,0,0,1,6,3,3,-20,"2,196",24,14,25,-47.83,"11,410",0,10,24,3,0,2,18,4,0,2,5,23,0,14,36,4,3,3,22,0,0,2,4,12,"-74,11553516162844","4,756889773202431"
33,004575,LOS LAURELES,Ene-Abr,0,1,0,-100,296,17,7,8,-5.88,"7,760",18,36,23,-33.33,"36,368",3,2,2,300,"1,759",2,2,1,100,"1,104",1,2,4,-71.43,"2,805",1,3,1,0,"2,308",11,10,7,-54.55,"19,286",3,12,5,100,"1,552",0,0,0,0,1,3,5,4,-25,"2,196",29,32,35,-28.57,"11,410",2,17,36,1,1,7,22,2,0,1,4,35,0,16,24,4,2,2,10,4,0,1,3,25,"-74,20280018813551","4,614183558337733"
34,004409,ALQUERIA,Ene-Abr,0,0,0,0,296,17,13,8,0,"7,760",63,65,48,-17.39,"36,368",4,4,2,-60,"1,759",8,10,3,-42.86,"1,104",1,3,4,-33.33,"2,805",4,7,14,-33.33,"2,308",40,25,32,-6,"19,286",6,5,5,-33.33,"1,552",0,0,0,0,1,3,2,0,66.67,"2,196",9,9,13,71.43,"11,410",0,9,92,5,14,6,50,3,0,6,3,7,0,9,76,2,8,4,47,2,0,4,5,12,"-74,13359843868169","4,599340602448513"
36,004615,OSORIO XII,Ene-Abr,2,1,0,0,296,4,1,0,100,"7,760",1,3,2,150,"36,368",0,1,0,0,"1,759",0,0,0,0,"1,104",0,0,1,0,"2,805",0,0,0,0,"2,308",1,1,1,100,"19,286",0,0,0,-100,"1,552",0,0,0,0,1,0,0,0,-100,"2,196",2,1,2,-100,"11,410",0,0,2,0,0,0,0,1,0,0,1,1,0,1,5,0,0,0,3,0,0,0,0,0,"-74,18087177461479","4,642540053591844"
37,004412,REMANSO SUR,Ene-Abr,0,0,0,0,296,8,3,2,550,"7,760",35,49,46,38.10,"36,368",3,2,1,-100,"1,759",6,6,3,300,"1,104",2,2,3,-60,"2,805",7,4,4,-85.71,"2,308",23,25,31,6.45,"19,286",0,1,1,300,"1,552",0,0,0,0,1,1,0,1,-50,"2,196",9,12,7,-75,"11,410",0,2,42,5,1,5,31,1,0,14,4,12,0,13,58,0,4,2,33,4,0,2,2,3,"-74,11651035284892","4,600838646267463"
38,004505,PROVIVIENDA OCCIDENTAL,Ene-Abr,1,0,0,0,296,16,18,13,-7.69,"7,760",76,78,70,-4.29,"36,368",9,13,10,-50,"1,759",7,10,9,-87.50,"1,104",2,5,8,-33.33,"2,805",7,12,9,-40,"2,308",58,38,46,-10,"19,286",5,3,1,0,"1,552",0,0,0,0,1,2,1,1,0,"2,196",29,26,35,-30.77,"11,410",0,13,70,8,8,6,50,4,0,5,2,26,0,12,67,4,1,4,45,4,0,3,2,18,"-74,14442652614422","4,6141150956800905"
39,002101,LA FRAGUITA,Ene-Abr,0,0,0,0,296,11,5,5,0,"7,760",8,30,11,21.43,"36,368",1,2,5,-100,"1,759",3,3,1,100,"1,104",1,1,2,-33.33,"2,805",0,4,2,-66.67,"2,308",9,17,3,-14.29,"19,286",0,1,1,100,"1,552",0,0,0,0,1,1,0,0,100,"2,196",18,3,13,-20,"11,410",0,5,14,4,0,3,7,0,0,3,0,5,0,5,17,0,1,2,6,1,0,1,1,4,"-74,09955045808346","4,593101835135534"
42,004521,LA ESTACION BOSA,Ene-Abr,1,0,1,0,296,10,23,12,8.33,"7,760",27,41,32,-36,"36,368",8,4,0,100,"1,759",0,0,2,-50,"1,104",2,5,6,-37.50,"2,805",4,0,4,-50,"2,308",17,22,11,-44.83,"19,286",3,2,3,100,"1,552",0,0,0,0,1,4,1,1,500,"2,196",32,22,49,-6.67,"11,410",0,12,50,0,2,8,29,1,0,2,1,30,0,13,32,2,1,5,16,2,0,1,6,28,"-74,18716913110023","4,599080349135869"
1,005680,VILLA DEL MAR,Ene-Abr,0,1,0,100,296,11,4,1,150,"7,760",12,18,27,7.69,"36,368",4,4,7,-60,"1,759",2,1,5,-66.67,"1,104",1,2,10,-25,"2,805",2,2,0,-100,"2,308",6,8,12,32.14,"19,286",4,3,3,-16.67,"1,552",0,0,0,0,1,4,3,2,-50,"2,196",11,4,24,-35,"11,410",0,2,52,5,3,16,28,6,0,1,2,20,1,5,56,2,1,12,37,5,0,0,1,13,"-74,12251858052224","4,700465590267713"
2,005660,SAN ANTONIO URBANO,Ene-Abr,0,0,0,0,296,7,1,1,100,"7,760",8,7,9,-25,"36,368",1,2,0,0,"1,759",0,0,4,-100,"1,104",0,3,2,-50,"2,805",0,1,3,-100,"2,308",6,3,3,-50,"19,286",3,2,0,50,"1,552",0,0,0,0,1,0,1,0,-100,"2,196",6,11,13,100,"11,410",0,3,12,1,3,2,6,2,0,1,1,6,0,6,9,1,0,1,3,3,0,0,0,12,"-74,1316841556608","4,702516406924178"
