OBJECTID,Código Localidad,Nombre Localidad,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Variación Homicidios 2021-2022%,Total Homicidios 2022 Bogotá D.C,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Variación Lesiones Personales 2021-2022 %,Total Lesiones Personales 2022 Bogotá D.C,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Variación Hurto Personas 2021-2022 %,Total Hurto Personas 2022 Bogotá D.C,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Variación Hurto Residencias 2021-2022 %,Total Hurto Residencias 2022 Bogotá D.C,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Variación Hurto Automotores 2021-2022 %,Total Hurto Automotores 2022 Bogotá D.C,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Variación Hurto Bicicletas 2021-2022 %,Total Hurto Bicicletas 2022 Bogotá D.C,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Variación Hurto Comercio 2021-2022 %,Total Hurto Comercio 2022 Bogotá D.C,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Variación Hurto Celulares 2021-2022 %,Total Hurto Celulares 2022 Bogotá D.C,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Variación Hurto Motocicletas 2021-2022 %,Total Hurto Motocicletas 2022 Bogotá D.C,Total Hurto Entidades Financieras  2018,Total Hurto Entidades Financieras  2019,Total Hurto Entidades Financieras  2020,Variación Hurto Entidades Financieras 2021-2022 %,Total Hurto Entidades Financieras  2022 Bogotá D.C,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Variación  Delitos Sexuales 2021-2022 %,Total Delitos Sexuales 2022 Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Variación  Violencia intrafamiliar 2021-2022 %,Total Violencia intrafamiliar 2022 Bogotá D.C.,Total Homicidios 2021,Total Lesiones Personales 2021,Total Hurto Personas 2021,Total Hurto Residencias 2021,Total Hurto Automotores 2021,Total Hurto Bicicletas 2021,Total Hurto Celulares 2021,Total Hurto Motocicletas 2021,Total Hurto Entidades Financieras  2021,Total Hurto Comercio 2021,Total Delitos Sexuales 2021,Total Violencia intrafamiliar 2021,Total Homicidios 2022,Total Lesiones Personales 2022,Total Hurto Personas 2022,Total Hurto Automotores 2022,Total Hurto Bicicletas 2022,Total Hurto Celulares 2022,Total Hurto Motocicletas 2022,Total Hurto Entidades Financieras  2022,Total Hurto Comercio 2022,Total Delitos Sexuales 2022,Total Violencia intrafamiliar 2022,Total Hurto Residencias 2022,coord_x,coord_y
9,20,Sumapaz,Ene-Abr,0,0,1,-50,297,14,0,1,0,"7,764",0,0,0,0,"36,376",0,0,0,0,"1,761",0,0,0,0,"1,104",0,0,0,0,"2,805",0,0,0,0,"2,310",0,0,0,0,"19,288",0,0,0,0,"1,552",0,0,0,0,1,6,1,8,0,"2,196",7,0,10,100,"11,421",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,"-74,25697871784784","4,03656874799721"
3,18,Rafael Uribe Uribe,Ene-Abr,22,22,30,8.33,297,604,505,324,-1.39,"7,764",985,"1,237",912,6.25,"36,376",149,133,110,-24.27,"1,761",59,69,61,51.43,"1,104",57,57,54,-21.95,"2,805",161,178,127,-71.60,"2,310",675,641,538,-6.31,"19,288",78,82,45,-16.67,"1,552",0,0,1,-100,1,102,105,79,56,"2,196",501,492,553,-11.95,"11,421",24,431,"1,152",103,35,82,681,108,1,169,75,594,26,425,"1,224",53,64,638,90,0,48,117,523,78,"-74,11336317908089","4,566476900776662"
4,17,Candelaria,Ene-Abr,0,0,1,-75,297,82,93,68,-22.33,"7,764",494,542,350,57.30,"36,376",22,9,11,155.56,"1,761",4,8,8,0,"1,104",5,17,13,-27.27,"2,805",64,99,70,-61.82,"2,310",300,232,205,26.35,"19,288",1,1,2,-33.33,"1,552",0,1,1,0,1,15,61,71,-47.22,"2,196",35,44,61,295.45,"11,421",4,103,281,9,3,11,148,3,0,55,72,88,1,80,442,3,8,187,2,0,21,38,348,23,"-74,0720706357654","4,5966050654010555"
5,12,Barrios Unidos,Ene-Abr,4,0,3,-50,297,291,185,169,67.33,"7,764","1,349","1,673","1,191",26.61,"36,376",120,101,78,-6.76,"1,761",34,37,28,-16.67,"1,104",125,128,110,-10.77,"2,805",231,274,190,-30.60,"2,310",875,874,709,26.79,"19,288",19,23,27,12.90,"1,552",1,0,0,0,1,34,38,33,165.79,"2,196",203,117,207,110.48,"11,421",4,150,"1,214",74,30,130,627,31,0,183,38,210,2,251,"1,537",25,116,795,35,0,127,101,442,69,"-74,0735516032945","4,669566933500683"
6,13,Teusaquillo,Ene-Abr,1,1,1,500,297,370,161,94,70.48,"7,764","2,142","2,392","1,556",42.01,"36,376",146,163,113,-13.08,"1,761",25,30,18,8.33,"1,104",167,171,115,-29.94,"2,805",401,364,260,-4.14,"2,310","1,339","1,233",857,49.13,"19,288",15,22,11,85.71,"1,552",1,0,0,100,1,44,53,35,-5.13,"2,196",210,85,141,-38.71,"11,421",1,105,"1,371",107,24,167,747,14,0,145,39,186,6,179,"1,947",26,117,"1,114",26,1,139,37,114,93,"-74,08576901681529","4,641173586570669"
7,16,Puente Aranda,Ene-Abr,4,10,30,-28.57,297,520,312,218,27.76,"7,764","1,429","1,800","1,333",3.71,"36,376",153,132,108,-44.63,"1,761",118,125,78,46.58,"1,104",116,100,107,-41.94,"2,805",341,535,246,-41.43,"2,310",943,876,735,-2.63,"19,288",58,68,38,25.71,"1,552",3,0,1,-100,1,69,87,69,30.30,"2,196",321,301,392,-46.07,"11,421",7,263,"1,563",121,73,155,874,70,1,251,66,534,5,336,"1,621",107,90,851,88,0,147,86,288,67,"-74,11158023586097","4,616245470614984"
8,14,Los Mártires,Ene-Abr,21,24,22,-14.29,297,370,195,187,36.12,"7,764","1,266","1,597","1,216",21.14,"36,376",61,39,44,-29.85,"1,761",21,35,14,-20,"1,104",60,59,42,-27.55,"2,805",237,205,147,-41.98,"2,310",803,853,685,-2.21,"19,288",27,16,19,10.53,"1,552",3,1,0,0,1,40,32,46,119.15,"2,196",210,107,169,86.50,"11,421",21,227,"1,282",67,30,98,723,38,0,131,47,200,18,309,"1,553",24,71,707,42,0,76,103,373,47,"-74,08794786789713","4,607155935090984"
10,01,Usaquén,Ene-Abr,11,11,16,18.18,297,509,321,214,7.41,"7,764","3,058","3,490","2,335",5.59,"36,376",308,238,219,-13.04,"1,761",49,30,27,27.59,"1,104",282,231,179,0,"2,805",440,515,352,-25.64,"2,310","1,851","1,570","1,326",-8.33,"19,288",25,35,41,-24.24,"1,552",4,2,1,0,1,84,75,70,9.21,"2,196",503,403,604,-49.20,"11,421",11,324,"2,094",184,29,170,"1,141",33,0,312,76,561,13,348,"2,211",37,170,"1,046",25,0,232,83,285,160,"-74,0278820870061","4,7419285612142215"
11,02,Chapinero,Ene-Abr,5,3,1,100,297,323,202,155,34.38,"7,764","3,065","4,111","2,565",71.55,"36,376",163,151,121,-15.66,"1,761",15,14,21,114.29,"1,104",176,167,135,4.63,"2,805",503,580,441,-27.34,"2,310","1,926","2,119","1,521",75.36,"19,288",13,12,9,-25,"1,552",1,3,4,-100,1,53,50,32,14.89,"2,196",200,150,178,-38.94,"11,421",1,160,"1,821",83,7,108,"1,043",12,2,256,47,208,2,215,"3,124",15,113,"1,829",9,0,186,54,127,70,"-74,03693919013855","4,64492471887091"
13,04,San Cristóbal,Ene-Abr,16,9,12,-50,297,650,547,346,-10.66,"7,764",758,900,810,-2.95,"36,376",135,128,89,-28.72,"1,761",47,44,39,21.43,"1,104",17,14,22,-34.21,"2,805",147,198,158,-47.13,"2,310",553,522,477,-17.43,"19,288",75,74,68,-10,"1,552",0,0,0,0,1,121,103,117,-15.04,"2,196",860,771,906,-13.46,"11,421",20,469,"1,017",94,28,76,608,90,0,87,133,758,10,419,987,34,50,502,81,0,46,113,656,67,"-74,06607256985832","4,548749009706712"
